idx,SNMF_genetic_label,V1,V2,V3,V4,morphological_tree_number
1,QR_9_QR-PO2,0.0953848,9.9991E-05,0.885196,0.0193191,QR-PO2
2,QA_6_QA-S7,0.807307,0.052619,0.113629,0.0264444,QA-S7
3,QS_1_SH-QS2,0.365497,0.464203,0.139003,0.0312959,SH-QS2
4,QR_1_SH-QR9,0.119371,0.199143,0.643418,0.0380678,SH-QR9
5,QA_ex_Arnold-QA4,0.933324,0.0372912,0.0121949,0.0171899,Arnold-QA4
6,QR_5_QR-M1,0.182482,9.9991E-05,0.79413,0.0232886,QR-M1
7,QR_10_QR-Pr9,0.0581653,9.9982E-05,0.941635,9.9982E-05,QR-Pr9
8,psQA_12_QA-AL5,0.338985,0.527867,0.0763172,0.0568303,QA-AL5
9,QS_8_QS-H11,0.0652641,0.614545,0.310453,0.00973758,QS-H11
10,QR_6_QR-S10,0.15773,9.9991E-05,0.829968,0.0122021,QR-S10
11,QS_1_SH-QS15,0.340855,0.442249,0.165669,0.0512271,SH-QS15
12,psQA_3_QA-RP2,0.486019,0.470774,0.00702865,0.0361785,QA-RP2
13,QA_ex_QAC-G-0073-A,0.82443,0.0990384,0.0513096,0.0252224,QAC-G-0073-A
14,QA_5_QA-M5,0.9997,9.998E-05,9.998E-05,9.998E-05,QA-M5
15,QR_5_QR-M4,0.0171922,9.9991E-05,0.981526,0.00118154,QR-M4
16,QS_13_QS-AL9,0.221603,0.725472,0.0139513,0.0389733,QS-AL9
17,QA_6_QA-S9,0.979049,0.0207513,9.9982E-05,9.9982E-05,QA-S9
18,QS_11_QS-W4,0.293646,0.569496,0.101763,0.0350953,QS-W4
19,QB_14_TX-QB9,0.13777,0.048097,0.0264979,0.787635,TX-QB9
20,psQA_3_QA-RP7,0.498273,0.424727,0.0407287,0.0362722,QA-RP7
21,QA_ex_QAC-G-0286-A,0.915443,9.9991E-05,0.0653144,0.0191425,QAC-G-0286-A
22,QA_5_QA-M2,0.9997,9.998E-05,9.998E-05,9.998E-05,QA-M2
23,QR_10_QR-Pr1,0.165691,9.9991E-05,0.800963,0.0332461,QR-Pr1
24,psQA_12_QA-AL6,0.289572,0.605592,0.0694748,0.0353612,QA-AL6
25,QR_6_QR-S3,0.0404444,9.99844E-05,0.959356,9.99844E-05,QR-S3
26,QS_11_QS-W7,0.330713,0.482271,0.123098,0.0639178,QS-W7
27,QB_14_TX-QB5,0.183084,0.0676129,0.0886686,0.660635,TX-QB5
28,psQA_3_QA-RP13,0.403273,0.564777,9.9991E-05,0.0318495,QA-RP13
29,QS_3_QS-RP10,0.422424,0.460425,0.0792694,0.0378811,QS-RP10
30,QS_4_QS-K4,0.526827,0.344133,0.0909617,0.0380791,QS-K4
31,QA_10_QA-Pr6,0.912559,0.0582565,0.0274346,0.00174974,QA-Pr6
32,QS_3_QS-RP8,0.491829,0.411552,0.0570991,0.0395197,QS-RP8
33,QA_6_QA-S4,0.97301,0.0267903,9.9982E-05,9.9982E-05,QA-S4
34,QA_9_QA-PO3,0.763877,0.148978,0.0605824,0.0265626,QA-PO3
35,QB_14_TX-QB2,0.172443,0.0615453,0.0719452,0.694066,TX-QB2
36,QS_3_QS-RP17,0.401445,0.553304,0.00386206,0.0413891,QS-RP17
37,QS_4_QS-K7,0.464774,0.312836,0.171211,0.0511787,QS-K7
38,QR_5_QR-M7,0.641797,0.296004,0.0353455,0.0268532,QR-M7
39,QS_3_QS-RP1,0.0950038,0.184699,0.716912,0.00338491,QS-RP1
40,QA_6_QA-S6,0.801611,0.0896528,0.0797654,0.028971,QA-S6
41,QA_6_QA-S11,0.904371,0.0274456,0.0560968,0.0120865,QA-S11
42,QR_2_T-QR6,0.23936,0.172197,0.550705,0.0377386,T-QR6
43,QR_3_QR-RP5,0.521612,0.354914,0.0774349,0.0460392,QR-RP5
44,QS_3_QS-RP15,0.527285,0.377674,0.0634195,0.0316216,QS-RP15
45,QA_5_QA-M10,0.895728,0.0546074,0.0395063,0.0101578,QA-M10
46,QR_5_QR-M9,0.184388,9.9991E-05,0.793398,0.022114,QR-M9
47,QS_13_QS-AL6,0.201312,0.751563,0.012726,0.0343995,QS-AL6
48,QR_6_QR-S11,0.920284,0.0199404,0.0540566,0.00571917,QR-S11
49,QS_1_SH-QS1,0.325764,0.533514,0.108698,0.0320235,SH-QS1
