TreeNo,knn_gene_predictions,gene_cluster,gene_coordinates,gene_centroids,bkm_distance,knn_distance
QA-M11,[-10.15258595  -1.8827399   -1.59065477],0,"[-8.431936096, -0.500913737, -11.54222572]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",3.158585963063176,10.193323498445336
QA-M5,[-10.15258595  -1.8827399   -1.59065477],0,"[-8.593978553, 0.414067943, -16.68961594]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",7.998233587771295,15.351977457541228
QR-M1,[ 6.44500605 -2.21316378  2.65295317],2,"[19.47262912, -1.953619719, -2.119561558]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.615484258323471,13.876715126274211
QR-M14,[-1.52165704 -1.65779049 -0.87307186],0,"[22.37592773, -2.003944438, -2.581493893]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",29.85963564071659,23.961074398971483
QR-M15,[-1.52165704 -1.65779049 -0.87307186],0,"[22.73439088, -1.946043139, -1.961701937]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",30.341626233676912,24.28217588781677
QR-M3,[-10.15258595  -1.8827399   -1.59065477],2,"[21.76251659, -2.006798345, -1.751650299]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.1537627748958865,31.9157497224506
QR-M9,[-1.52165704 -1.65779049 -0.87307186],2,"[19.4234083, -1.489881485, -1.222899225]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",3.955276407326832,20.948659499243778
QA-S11,[-10.15258595  -1.8827399   -1.59065477],0,"[-6.623124823, 0.487707143, -11.68632781]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",2.8119607643859745,10.954393150045552
QA-S14,[-10.15258595  -1.8827399   -1.59065477],0,"[-7.853183249, 0.514655321, -12.13963228]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",3.447349998591282,11.05964209441056
QA-S15,[-10.15258595  -1.8827399   -1.59065477],0,"[-7.302998165, -0.109079279, -13.21233643]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",4.328336098045507,12.096673397206304
QA-S6,[-10.15258595  -1.8827399   -1.59065477],0,"[-6.093951859, 0.192991122, -9.430155184]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",0.844444767364162,9.0685686194845
QA-S9,[-1.52165704 -1.65779049 -0.87307186],2,"[-8.331835728, 0.164434211, -12.89582795]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",28.689541390023052,13.937205624808552
QR-S2,[ 5.97894508 -2.83499091  4.50125264],2,"[20.63436735, -1.737158794, -2.265108001]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",5.537987167066542,16.179316224366882
QR-S3,[ 4.67798571 -3.16349989  6.41724193],2,"[21.54133698, -2.224720931, -2.061302791]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.142691819546881,18.898138598513487
QR-S4,[ 6.44500605 -2.21316378  2.65295317],2,"[22.30084773, -1.682450885, -2.209020829]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.850858977346166,16.593015476343474
QR-S5,[ 6.21928007 -2.10227594  2.93294313],2,"[22.27240483, -1.488817347, -1.485403356]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.482836754619434,16.66136043694912
QA-PO13,[-1.52165704 -1.65779049 -0.87307186],0,"[-8.87764643, 0.286487607, -12.03386165]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",3.790070016456009,13.5075544034238
QA-PO15,[-13.68983136  -3.67352205   5.31691953],0,"[-9.177108596, -0.571629284, -10.54033049]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",2.9813709387891474,16.776137330426696
QA-PO8,[-10.15258595  -1.8827399   -1.59065477],0,"[-6.386409837, -0.312735673, -8.157215812]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",0.8911313715588985,7.731023204811518
QA-PO9,[-10.15258595  -1.8827399   -1.59065477],0,"[-9.09062444, -0.186878564, -10.93145136]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",3.1006365817056265,9.552705844734447
QR-PO8,[-1.52165704 -1.65779049 -0.87307186],2,"[22.16005006, -1.277518849, -1.941225566]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.614733371117541,23.708834010662734
QA-Pr9,[-9.6209865  -2.15245585 -0.26575373],0,"[-0.240544969, -0.068756308, -0.529028269]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",10.612689069107892,9.61268955684383
QA-AL2,[-14.67097174  -5.25618885  10.2383143 ],1,"[-15.45184579, -4.552369442, 8.38881867]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.44569504433513,2.1273834010035855
QA-AL3,[-3.00127323 -3.67325002  6.66754622],1,"[-15.50191269, -4.528022862, 8.195197482]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.383567373502638,12.622612319478838
QA-AL5,[-5.52496342 -4.07039976  7.88280191],1,"[-10.49077346, -3.099164364, 5.522801789]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",0.7335741873011599,5.583204106529324
QA-AL6,[-13.15823191  -3.94323799   6.64182056],0,"[-11.72131223, -3.803763605, 6.603997226]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",16.741194600419334,1.444168227688912
QS-AL5,[-14.15589233  -4.29534918   7.165219  ],1,"[-16.99814607, -5.685082097, 12.56550708]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.538474718540236,6.258823787543112
QS-AL6,[-14.15589233  -4.29534918   7.165219  ],1,"[-14.55001606, -4.85876283, 11.47269688]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",7.095768260621507,4.362010329456043
QS-AL7,[-14.15589233  -4.29534918   7.165219  ],1,"[-17.43108467, -6.197125583, 12.88199069]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.164460985574518,6.857486190875777
QS-AL8,[-12.17800741  -4.47976563   7.72190271],1,"[-18.68844669, -7.264904782, 15.77829213]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",13.378641786185053,10.726053801791968
QS-AL8,[-12.17800741  -4.47976563   7.72190271],1,"[-18.68844669, -7.264904782, 15.77829213]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",13.378641786185053,10.726053801791968
QS-AL9,[-14.67097174  -5.25618885  10.2383143 ],1,"[-14.71770739, -4.714826001, 11.21394372]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.945883846029764,1.1167411152219915
QS-H10,[-14.67097174  -5.25618885  10.2383143 ],1,"[-2.270945013, -4.630465999, 10.64710962]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.122033227058399,12.422532167248761
