PC1,PC2,PC3,PC4,PC5,PC6,TreeNo,gene_cluster
21.70818046,-1.917704697,-1.904397099,8.736799465,0.215774143,0.896592493,QR-PO2,2
-5.810404577,-0.052144179,-9.538035976,-2.079760956,-3.775414979,4.764205004,QA-S7,0
-8.408125245,-2.288342021,4.408345299,1.755349383,-0.421010004,-0.327213343,SH-QS2,1
11.72092291,-1.770264135,5.153833812,-12.58845197,-0.264383601,1.568802168,SH-QR9,2
-7.876694334,0.132502223,-12.8031032,-0.833359955,-7.874460068,-23.15654822,Arnold-QA4,0
19.47262912,-1.953619719,-2.119561558,6.929594149,0.153655439,0.122969131,QR-M1,2
21.94537816,-1.778667684,-1.433369045,7.434867505,0.348937612,-0.364329199,QR-Pr9,2
-10.49077346,-3.099164364,5.522801789,2.842226835,1.245735739,-0.315350945,QA-AL5,1
-2.365435542,-4.486596126,9.816140611,-4.783671704,1.333291061,-0.444040315,QS-H11,1
20.05738604,-1.553095838,-2.021950886,8.050073172,1.219069436,-0.0112497,QR-S10,2
-7.743008163,-1.891009657,3.362775012,1.126928411,0.04272468,-0.211445204,SH-QS15,1
-11.69708504,-2.834073774,1.272640808,2.472366768,-0.783549402,1.968492082,QA-RP2,1
-7.899271813,-0.260784735,-8.566368954,-1.428077072,-5.561271425,5.417436654,QAC-G-0073-A,0
-8.593978553,0.414067943,-16.68961594,-4.173089717,26.72755229,-1.8362879,QA-M5,0
22.27435004,-1.179981249,-1.763339487,8.358869059,0.30912133,0.366313142,QR-M4,2
-14.71770739,-4.714826001,11.21394372,4.84420997,0.340676677,0.765170958,QS-AL9,1
-8.331835728,0.164434211,-12.89582795,-2.448550795,-3.953794092,7.250433438,QA-S9,0
-10.22286907,-3.904929021,6.74010497,3.081306624,0.506464599,-0.66978138,QS-W4,1
-10.5722765,-2.414886422,0.417866532,1.615911964,-0.303631619,-0.66335491,QA-RP7,1
-6.306823054,0.014822988,-13.02026123,-2.768349577,23.20678322,-1.352211776,QAC-G-0286-A,0
-8.565857919,0.316622505,-15.30502936,-4.240916281,21.40806246,-1.928577067,QA-M2,0
19.54914637,-1.069608531,-1.627305409,7.618798342,0.391060879,-0.067569787,QR-Pr1,2
-11.72131223,-3.803763605,6.603997226,3.177949152,0.332033365,0.374153981,QA-AL6,1
21.54133698,-2.224720931,-2.061302791,7.387593604,-0.01998287,0.152598349,QR-S3,2
-8.618720456,-2.671920145,5.545769534,2.420711231,0.430865293,-0.253432809,QS-W7,1
-12.37426298,-2.501410266,2.112610707,2.016016044,-0.013560479,0.575510905,QA-RP13,1
-10.45645015,-2.566019609,2.671979114,1.996529866,0.322404082,0.994223982,QS-RP10,1
-8.717159742,-1.763312032,-1.265348953,1.653477557,-0.616589782,-0.640931061,QS-K4,1
-7.838692485,-0.223237719,-11.69413487,-1.011562849,-6.19389431,-17.5500323,QA-Pr6,0
-9.032593859,-2.847049909,0.790631139,1.509834051,-0.95924257,1.137497688,QS-RP8,1
-8.19751094,0.250872789,-11.46777455,-1.628997541,-3.050469844,6.229665252,QA-S4,0
-7.621786192,-0.030685683,-8.161735252,-1.072390228,-4.172442455,4.831434691,QA-PO3,0
-2.042102406,-0.342480667,-0.065549391,0.354318521,0.119895068,-0.062938816,QA-RP12,0
-12.4262712,-2.658272875,2.682453878,3.143409215,-0.62350864,-0.007704785,QS-RP17,1
-5.984694517,-0.758557842,-1.229197331,0.598320286,-0.575459606,0.195584667,QS-K7,0
-9.65921648,-1.332740028,-4.790705692,0.047757162,0.259833485,0.968751169,QR-M7,0
13.19326391,-2.658953125,3.982955771,-7.657168764,1.278452877,-0.343699549,QS-RP1,2
-6.093951859,0.192991122,-9.430155184,-1.588862704,-3.023376949,4.350236363,QA-S6,0
-6.623124823,0.487707143,-11.68632781,-2.072886996,-5.209315449,7.104194973,QA-S11,0
9.834992166,-1.037564548,2.296427925,-5.180513293,0.58613251,-0.613857186,T-QR6,2
-8.980693645,-1.684933813,0.147743403,0.360918957,-1.045288934,-0.607774475,QR-RP5,1
-9.757292081,-2.284683486,-0.295546245,1.843656607,-0.677775183,0.283047638,QS-RP15,1
-7.793627728,-0.855392782,-11.4850675,-2.850532364,-4.892446539,0.948980134,QA-M10,0
19.4234083,-1.489881485,-1.222899225,8.000538949,0.445425707,0.427272283,QR-M9,2
-14.55001606,-4.85876283,11.47269688,5.26999578,1.889169832,-0.325477539,QS-AL6,1
-6.59927151,0.461624864,-10.8463215,-1.291340958,-3.879660314,6.111254815,QR-S11,0
-8.819664666,-3.383498441,4.857422409,1.657832673,1.026614715,-0.204236948,SH-QS1,1
0.880872932,-0.696483506,0.718092969,0.848015535,-0.23192687,-0.082734166,QR-RP10,2
-7.383314966,0.398530461,-12.23702534,-2.005058564,-3.541625538,6.798234641,MBG-QA2,0
-8.563557794,-1.962381078,0.256882041,1.586178167,-0.745601447,0.862587583,QS-RP14,1
-7.18980008,0.079768659,-9.805812259,-2.303693106,-3.464587052,0.340694596,QA-M14,0
-4.079282271,-0.261881924,-3.349377606,-0.44445771,-1.372425478,-3.058754181,QA-Pr12,0
21.7895621,-1.881016804,-2.217637248,7.533703391,-0.205507453,-0.018306665,QR-Pr2,2
-2.131488767,-4.887930415,9.53623754,-4.516544739,0.903677477,-0.492404835,QS-H8,1
-9.519253084,-3.355812443,5.016272318,2.118299968,0.090477925,0.031472936,SH-QS21,1
12.7707409,-1.671057056,3.362380929,-8.480922498,0.044064096,-1.065972003,QR-RP12,2
-9.354966951,-0.08076387,-15.15135439,-3.414679097,22.02451948,-1.835796888,Arnold-QA3,0
-13.48838453,-3.901896655,3.641492632,2.500405394,-0.040838936,0.12975338,QS-RP12,1
-7.63567427,-2.050761891,1.07906096,1.872558756,-0.147628059,0.339700214,QS-K9,1
-0.744778133,-0.487925806,-8.488575066,1.127777538,-5.1037387,-14.68981214,QA-Pr5,0
-8.431936096,-0.500913737,-11.54222572,-2.553749446,-5.520024228,0.697084902,QA-M11,0
20.63436735,-1.737158794,-2.265108001,7.559322252,0.479093507,0.700559007,QR-S2,2
-9.68128899,-3.396039849,5.346520487,2.224635054,0.417626462,0.284581493,SH-QS12,1
-5.624954741,-1.547011144,0.390431101,0.782914269,0.035047637,-0.264244235,QA-RP14,1
-10.63155831,-1.955788692,-3.810640206,-0.171747414,-2.719626423,4.568930181,Arnold-QA1,0
-3.12037425,-0.741657104,-1.072267009,0.035047257,-0.151619263,0.161254203,QS-K3,0
-7.432967078,0.1482471,-11.89154448,-2.37638886,10.12712892,-1.352085275,QA-M7,0
21.69291022,-1.907142898,-1.36873357,8.176417631,0.028539074,0.361474,QR-Pr12,2
-7.98044868,0.051393074,-12.46146358,-1.479575505,-8.012787436,-21.21479307,QA-Pr14,0
-7.302998165,-0.109079279,-13.21233643,-2.524093478,-4.047079301,5.956574927,QA-S15,0
-11.78550491,-3.733215497,6.319262015,2.551627499,-0.594206871,0.45218879,SH-QS8,1
-4.74114366,-1.111717302,0.55331501,0.481182196,0.110102238,-0.162355084,QA-RP15,0
-8.964401295,0.504639335,-13.10461078,-1.936122938,5.784701617,0.210581528,Arnold-QA2,0
21.76251659,-2.006798345,-1.751650299,8.653440115,1.021514729,0.716034281,QR-M3,2
-9.12081072,-1.974119506,0.663090677,1.847180331,-0.016263385,-0.711482642,QS-K8,1
-6.386409837,-0.312735673,-8.157215812,-1.539485005,-4.823638168,6.620607212,QA-PO8,0
22.37592773,-2.003944438,-2.581493893,8.572743214,0.344203315,0.434074075,QR-M14,2
22.17533986,-1.801637933,-1.568290523,8.323223263,-0.34983536,0.226958804,QR-PO9,2
4.540473723,-2.236517045,2.868785371,-0.868424906,0.05890778,0.952524533,SH-QR27,2
11.68974151,-1.983574462,2.558045297,-6.086590884,0.509759655,-0.708136773,QR-RP2,2
1.978213462,-1.160323647,-4.165852621,-6.854409138,-2.34127796,4.428699377,Arnold-QA5,0
-8.040063436,0.363755161,-15.35296334,-3.318401649,25.21434539,-2.115545768,QA-M1,0
20.65351893,-1.6984585,-1.30752184,7.975787951,0.895425448,0.411051511,QR-M12,2
22.53518124,-1.906877387,-2.259863628,8.68655943,0.91862581,0.039352006,QR-K8,2
20.08626751,-1.575018173,-2.01970302,7.826291803,0.995036851,0.46291596,QR-S1,2
-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167,SH-QS6,1
-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167,SH-QS6,1
13.40181353,-1.889706061,4.365932862,-8.917496259,-0.67697882,0.185099199,SH-QR7,2
-1.457992536,-0.082776002,-2.368301867,-0.774031661,3.0193669,-0.49487904,Morton-QA,0
-4.649977154,0.187810775,-7.379416237,-1.199252335,2.825023775,0.024003816,QA-M9,0
