TreeNo,morph_cluster
M-QR2,2
M-QA2,2
M-QA3,1
M-QA4,2
M-QA5,2
M-QA6,2
M-QA7,2
M-QA9,2
M-QA12,2
M-QA13,2
M-QA14,2
M-QA17,2
M-QA18,2
M-QA23,2
M-QA26,2
M-QA27,2
M-QA28,2
M-QA29,2
M-QA30,2
M-QA32,2
M-QR5,1
M-QA34,2
M-QA35,2
M-QR10,2
M-QR11,1
M-QA36,2
M-QA37,2
M-QA38,2
QA-M11,2
QA-M12,2
QA-M3,2
QA-M4,2
QA-M5,2
QR-M1,1
QR-M13,1
QR-M14,2
QR-M15,2
QR-M2,2
QR-M3,1
QR-M8,1
QR-M9,1
S-QA1,2
S-QA2,2
S-QA3,2
S-QR1,1
S-QR2,1
S-QA4,2
S-QA5,2
S-QA6,2
S-QR11,1
S-QR12,1
S-QR13,1
S-QR14,1
S-QA41,2
S-QA42,2
S-QR9,1
S-QR10,1
S-QA34,2
S-QA37,2
S-QA38,2
S-QA39,2
S-QA40,2
S-QA26,2
S-QA27,2
S-QA28,2
S-QA29,2
S-QA30,2
S-QA32,2
S-QA31,2
S-QA33,2
S-QA7,2
S-QA8,2
S-QR3,2
S-QA10,2
S-QA12,2
S-QR4,2
S-QA16,2
S-QR6,1
S-QA17,2
S-QR7,1
S-QR5,1
S-QA13,2
S-QA14,2
S-QA15,2
S-QA22,2
S-QA23,2
S-QA24,2
S-QA25,2
S-QA18,2
S-QA19,2
S-QA20,2
S-QA21,2
S-QR15,1
S-QR16,1
S-QR17,1
S-QR18,1
QA-S10,2
QA-S11,2
QA-S12,2
QA-S14,2
QA-S15,2
QA-S2,2
QA-S3,2
QA-S6,2
QA-S8,2
QA-S9,1
QR-S2,1
QR-S3,1
QR-S4,1
QR-S5,1
QR-S6,1
P-QA1,2
P-QR1,1
P-QR2,1
P-QA2,2
P-QA3,2
P-QA4,2
P-QA5,2
P-QA6,2
P-QA7,2
P-QA8,2
P-QA9,2
P-QR4,1
P-QR5,2
P-QA10,2
P-QA11,2
P-QA12,2
P-QA13,2
P-QA14,2
P-QA16,2
P-QA17,2
P-QA18,2
P-QA19,2
P-QA20,2
P-QA21,2
P-QA22,2
P-QR6,1
P-QR7,1
P-QA23,2
P-QA24,2
P-QA25,2
P-QA26,2
P-QR8,1
P-QA27,2
P-QA28,2
P-QA29,2
P-QA30,2
P-QA31,2
P-QA32,2
P-QR9,1
P-QR10,1
P-QR12,1
P-QR14,1
P-QR15,1
QA-PO12,2
QA-PO13,2
QA-PO14,2
QA-PO15,2
QA-PO2,2
QA-PO4,2
QA-PO7,2
QA-PO8,2
QA-PO9,2
QR-PO14,1
QR-PO8,1
QA23,2
QA24,2
QA25,2
QA26,2
QA19,2
QA20,2
QA21,2
QA22,2
QA17,2
QA18,2
QA16,2
QA12,2
QA13,2
QA14,2
QA15,2
QA10,2
QA11,2
QR8,2
QA8,2
QA9,2
QA6,2
QA7,2
QR4,1
QA4,2
QA5,2
QA1,2
QA2,2
QA3,2
QA27,2
QA28,2
QA29,2
QR16,1
QR17,1
QA30,2
QR18,1
QA-Pr13,2
QA-Pr15,2
QA-Pr2,2
QA-Pr9,2
QR-Pr13,1
QA-AL2,0
QA-AL3,0
QA-AL5,0
QA-AL6,2
QS-AL5,0
QS-AL6,0
QS-AL7,0
QS-AL8,0
QS-AL9,0
QS-H1,1
QS-H10,0
QS-H11,0
QS-H12,0
QS-H13,1
QS-H2,1
QS-H3,1
QS-H4,0
QS-H5,0
QS-H6,0
QS-H7,0
QS-H8,0
QS-H9,0
QS-L1,0
QS-L10,0
QS-L2,0
QS-L3,0
QS-L4,0
QS-L5,0
QS-L6,1
QS-L7,2
QS-L8,1
QS-L9,0
QS-W1,0
QS-W2,0
QS-W3,0
QS-W4,0
QS-W5,0
QS-W6,0
QS-W7,1
QA-RP1,2
QA-RP10,2
QA-RP11,2
QA-RP12,2
QA-RP13,2
QA-RP14,2
QA-RP15,2
QA-RP16,2
QA-RP2,2
QA-RP3,2
QA-RP4,0
QA-RP5,2
QA-RP6,2
QA-RP7,2
QA-RP8,2
QA-RP9,2
QR-RP1,0
QR-RP10,1
QR-RP11,1
QR-RP12,0
QR-RP2,1
QR-RP3,1
QR-RP5,0
QR-RP6,1
QR-RP7,1
QR-RP8,1
QR-RP9,0
QS-RP1,0
QS-RP10,0
QS-RP11,0
QS-RP12,0
QS-RP13,0
QS-RP14,0
QS-RP15,0
QS-RP16,0
QS-RP2,0
QS-RP3,0
QS-RP4,0
QS-RP5,0
QS-RP7,0
QS-RP8,0
QS-RP9,0
SH-QR1,1
SH-QR10,1
SH-QR11,1
SH-QR2,0
SH-QR21,1
SH-QR22,0
SH-QR23,1
SH-QR24,1
SH-QR25,1
SH-QR26,0
SH-QR27,0
SH-QR28,1
SH-QR3,1
SH-QR4,1
SH-QR5,0
SH-QR6,1
SH-QR7,1
SH-QR8,1
SH-QR9,0
SH-QS1,0
SH-QS10,0
SH-QS11,0
SH-QS12,0
SH-QS13,0
SH-QS14,0
SH-QS15,0
SH-QS16,0
SH-QS17,0
SH-QS18,0
SH-QS19,0
SH-QS2,0
SH-QS20,0
SH-QS21,0
SH-QS22,0
SH-QS23,0
SH-QS24,0
SH-QS25,0
SH-QS26,0
SH-QS27,0
SH-QS28,0
SH-QS29,0
SH-QS3,0
SH-QS30,0
SH-QS31,0
SH-QS32,0
SH-QS4,0
SH-QS5,0
SH-QS6,0
SH-QS7,0
SH-QS8,0
SH-QS9,0
T-QR1,0
T-QR10,1
T-QR11,1
T-QR12,1
T-QR13,1
T-QR14,1
T-QR15,1
T-QR16,1
T-QR17,1
T-QR18,1
T-QR19,1
T-QR2,1
T-QR20,1
T-QR21,0
T-QR22,1
T-QR23,1
T-QR24,1
T-QR25,1
T-QR26,1
T-QR27,1
T-QR28,1
T-QR29,1
T-QR3,1
T-QR4,0
T-QR5,1
T-QR6,1
T-QR7,1
T-QR8,0
T-QR9,1
K-QA1,2
K-QA2,2
K-QA3,2
K-QA4,2
K-QA5,2
K-QA6,0
K-QA7,2
K-QA8,2
K-QR1,1
K-QR10,1
K-QR11,1
K-QR12,0
K-QR13,1
K-QR14,1
K-QR16,1
K-QR2,0
K-QR3,1
K-QR4,1
K-QR5,1
K-QR6,1
K-QR7,1
K-QR8,1
K-QR9,1
K-QS1,2
K-QS10,0
K-QS11,0
K-QS12,0
K-QS13,0
K-QS14,0
K-QS15,0
K-QS2,0
K-QS3,0
K-QS4,0
K-QS5,0
K-QS6,2
K-QS7,2
K-QS8,2
K-QS9,0
QA-K3,2
QA-K4,2
QA-K6,2
QA-K7,2
QA-K8,2
QR-K10,1
QR-K2,1
QR-K3,1
QR-K4,1
QR-K5,1
QR-K6,1
QR-K7,1
QR-K8,1
QR-K9,1
QS-K1,1
QS-K10,0
QS-K2,0
QS-K3,2
QS-K6,0
QS-K7,0
QS-K8,0
QS-K9,0
QA31,0
QA32,0
QA33,0
QA35,0
QA36,0
QA37,0
QA38,0
QA39,0
QA40,0
QA41,0
QS1,0
QS2,0
QS3,0
QS4,0
QS5,0
QS6,0
QS7,0
QS8,0
QS9,0
QS10,0
QS11,0
QS12,0
QS13,0
QS14,0
QS15,0
QS16,0
QS17,0
QS18,0
QS19,0
QS20,0
QS21,0
QS22,0
QS24,0
QS25,0
QS26,0
QS27,0
QS28,0
QS30,0
QS31,0
QS32,0
QS33,0
QS34,0
QS35,0
QS36,0
QS37,0
QS38,0
QS39,0
QS40,0
QS41,0
QS42,0
QS43,0
QS44,0
QS45,0
QS46,0
QS47,0
QS48,0
QS49,0
QS50,0
QS51,0
QS52,0
QS53,0
QS54,0
QS55,0
QS56,0
QS57,0
QS58,0
QS59,0
QS60,0
