TreeNo,morph_cluster,morph_predicted_gene_cluster
M-QR2,2,0
M-QA2,2,0
M-QA3,1,2
M-QA4,2,0
M-QA5,2,0
M-QA6,2,0
M-QA7,2,0
M-QA9,2,0
M-QA12,2,0
M-QA13,2,0
M-QA14,2,0
M-QA17,2,0
M-QA18,2,0
M-QA23,2,0
M-QA26,2,0
M-QA27,2,0
M-QA28,2,0
M-QA29,2,0
M-QA30,2,0
M-QA32,2,0
M-QR5,1,2
M-QA34,2,0
M-QA35,2,0
M-QR10,2,0
M-QR11,1,2
M-QA36,2,0
M-QA37,2,0
M-QA38,2,0
QA-M11,2,0
QA-M12,2,0
QA-M3,2,0
QA-M4,2,0
QA-M5,2,0
QR-M1,1,2
QR-M13,1,2
QR-M14,2,0
QR-M15,2,0
QR-M2,2,0
QR-M3,1,2
QR-M8,1,2
QR-M9,1,2
S-QA1,2,0
S-QA2,2,0
S-QA3,2,0
S-QR1,1,2
S-QR2,1,2
S-QA4,2,0
S-QA5,2,0
S-QA6,2,0
S-QR11,1,2
S-QR12,1,2
S-QR13,1,2
S-QR14,1,2
S-QA41,2,0
S-QA42,2,0
S-QR9,1,2
S-QR10,1,2
S-QA34,2,0
S-QA37,2,0
S-QA38,2,0
S-QA39,2,0
S-QA40,2,0
S-QA26,2,0
S-QA27,2,0
S-QA28,2,0
S-QA29,2,0
S-QA30,2,0
S-QA32,2,0
S-QA31,2,0
S-QA33,2,0
S-QA7,2,0
S-QA8,2,0
S-QR3,2,0
S-QA10,2,0
S-QA12,2,0
S-QR4,2,0
S-QA16,2,0
S-QR6,1,2
S-QA17,2,0
S-QR7,1,2
S-QR5,1,2
S-QA13,2,0
S-QA14,2,0
S-QA15,2,0
S-QA22,2,0
S-QA23,2,0
S-QA24,2,0
S-QA25,2,0
S-QA18,2,0
S-QA19,2,0
S-QA20,2,0
S-QA21,2,0
S-QR15,1,2
S-QR16,1,2
S-QR17,1,2
S-QR18,1,2
QA-S10,2,0
QA-S11,2,0
QA-S12,2,0
QA-S14,2,0
QA-S15,2,0
QA-S2,2,0
QA-S3,2,0
QA-S6,2,0
QA-S8,2,0
QA-S9,1,2
QR-S2,1,2
QR-S3,1,2
QR-S4,1,2
QR-S5,1,2
QR-S6,1,2
P-QA1,2,0
P-QR1,1,2
P-QR2,1,2
P-QA2,2,0
P-QA3,2,0
P-QA4,2,0
P-QA5,2,0
P-QA6,2,0
P-QA7,2,0
P-QA8,2,0
P-QA9,2,0
P-QR4,1,2
P-QR5,2,0
P-QA10,2,0
P-QA11,2,0
P-QA12,2,0
P-QA13,2,0
P-QA14,2,0
P-QA16,2,0
P-QA17,2,0
P-QA18,2,0
P-QA19,2,0
P-QA20,2,0
P-QA21,2,0
P-QA22,2,0
P-QR6,1,2
P-QR7,1,2
P-QA23,2,0
P-QA24,2,0
P-QA25,2,0
P-QA26,2,0
P-QR8,1,2
P-QA27,2,0
P-QA28,2,0
P-QA29,2,0
P-QA30,2,0
P-QA31,2,0
P-QA32,2,0
P-QR9,1,2
P-QR10,1,2
P-QR12,1,2
P-QR14,1,2
P-QR15,1,2
QA-PO12,2,0
QA-PO13,2,0
QA-PO14,2,0
QA-PO15,2,0
QA-PO2,2,0
QA-PO4,2,0
QA-PO7,2,0
QA-PO8,2,0
QA-PO9,2,0
QR-PO14,1,2
QR-PO8,1,2
QA23,2,0
QA24,2,0
QA25,2,0
QA26,2,0
QA19,2,0
QA20,2,0
QA21,2,0
QA22,2,0
QA17,2,0
QA18,2,0
QA16,2,0
QA12,2,0
QA13,2,0
QA14,2,0
QA15,2,0
QA10,2,0
QA11,2,0
QR8,2,0
QA8,2,0
QA9,2,0
QA6,2,0
QA7,2,0
QR4,1,2
QA4,2,0
QA5,2,0
QA1,2,0
QA2,2,0
QA3,2,0
QA27,2,0
QA28,2,0
QA29,2,0
QR16,1,2
QR17,1,2
QA30,2,0
QR18,1,2
