Duplicate,Lobe.number,BL,PL,BW,TLIW,TLL,TLDW,TEL,BLL,LLL,BSR,LSR,LLDW,LLIW,MidVeinD,BL.PL,TLDW.TLIW,TLL.TLDW,LLDW.LLIW,LLL.LLLDW,BL.BW,BL_PL,Putative_spp,General.location.Habitat,site,year,Latitude,Longitude
0061284MOR,5,7.63055381,2.79926991,9.1725154,2.077876205,3.808087531,2.47117268,0.800970716,1.241068575,3.385826333,2.871189949,4.065416007,2.251790686,2.547152265,4.707170789,2.823721485,1.222432819,1.599899138,0.941417698,1.578951297,0.835429367,10.42982372,Quercus shumardii var. acerifolia,"Logan County, Arkansas","Arkansas River Province: Ozark National Forest, Magazine Mountain Div. at Brown Springs, on North escarpment of Magazine Mountain, about 9 mi. SSE of Paris.",1955,35.16985788,-93.65075334
0061285MOR,5.333333333,7.009623834,2.265214855,6.85091444,2.026769102,2.15307449,2.020667594,0.744240816,1.787911416,2.715352638,2.3811976,5.084386442,2.504243742,2.363115771,3.737101546,3.099932114,0.99745342,1.103232207,1.060273333,1.111737801,1.032736074,9.274838689,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Top of Magazine Mountain.,1924,35.16985788,-93.65075334
0061286MOR,6.541666667,11.34430162,2.878072826,12.33383566,3.594934814,3.816867994,3.897418198,1.217702912,2.382830281,4.28297534,2.980341172,7.8188177,4.118663326,3.400827048,5.950853437,4.191670883,1.084928144,1.121414167,1.2224287,1.097222764,0.925754578,14.22237445,Quercus shumardii var. acerifolia,"Logan County, Arkansas","Ozark National Forest, Magazine Mt., 16 mi. SE of Paris on St. Hwy. 309 & 2.5 mi. W of junction. Bluffs above Brown Spring Lookout. N-facing slope to 10 m tall, by cliff -- m tall.",1986,35.16985788,-93.65075334
1666647,5.444444444,7.489663589,2.745890451,8.315420513,2.569718281,3.005605269,2.634211133,0.897096794,2.094959299,3.054949991,2.623349763,4.921886687,2.598155028,2.749130982,4.606900656,2.798475201,1.017780913,1.227927972,0.955778307,1.200790448,0.907842167,10.23555404,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Rocky (sandstone) top of Magazine Mt.,1924,35.16985788,-93.65075334
36920,5.166666667,4.946384245,1.867837034,5.097267619,1.437473941,1.99099861,1.785189092,0.737518436,1.025525905,1.884017243,1.922650709,3.152949844,1.357942585,1.573268858,2.564027613,2.683397539,1.240827379,1.104084058,0.845260106,1.440483396,0.976237723,6.814221279,"Quercus shumardii var. acerifolia first, Quercus shumardii later","Logan Co. County, Arkansas",Post Office Magazine Mountain.,1955,35.16985788,-93.65075334
5200,5.222222222,7.183412976,3.043259619,7.340217201,2.448883139,2.766620177,2.714379563,1.013610795,1.136203302,2.757891713,2.181462049,4.519372128,1.86075257,2.583853237,3.774053646,2.39799739,1.092204563,1.036961659,0.719242641,1.527188662,0.98695055,10.2266726,"Quercus shumardii var. acerifolia first, Quercus shumardii later","Montgomery County, Arkansas","Montgomery County, AR. Open, grassy glade on top and south side of Pryor Mtn., Ouachita National Forest; in the N 1/2 of the N 1/2 of Section 34, T4S, R27W; Athen and Langley Quads.",1991,35.16985788,-93.65075334
5204,5,7.448787594,2.266340981,7.919552988,1.973967488,3.650054007,2.828202916,1.217753968,1.776029671,3.378448125,2.076375827,3.960398349,2.362291055,2.23792417,3.985293467,3.356593225,1.45569272,1.355169443,1.071865019,1.46746812,0.948388588,9.715128575,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Locality Not Recorded,1991,35.16985788,-93.65075334
barcode-00034090,5,7.169022907,2.513214106,7.563075443,2.103254537,3.726297261,3.445688422,1.194107431,1.619685262,2.949069874,2.203704414,3.487100778,2.702480991,1.848687122,3.987146541,2.870551335,1.704121068,1.10304269,1.488571631,1.139587721,0.960633256,9.682237013,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Magazine Mountain,1924,35.16985788,-93.65075334
BRIT319822,6,8.389683334,2.822147385,8.301300264,2.194547143,2.967242501,2.605398084,1.059144526,1.954058983,2.764690205,1.994380347,5.40665826,2.369027914,2.150609846,3.612590068,3.01544829,1.210772735,1.147511984,1.049361442,1.23685853,1.012586694,11.21183072,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Brown Springs. Rim of mountain. Ouachita Region.,1970,35.16985788,-93.65075334
BRIT319823,5,8.448051085,2.744640702,10.73483505,1.699508039,5.235246462,3.879827133,1.976923703,2.9674738,5.549187653,1.784183393,3.398739829,4.389958685,2.302005046,5.603347514,3.086096955,2.329591568,1.349764801,1.93423772,1.279413404,0.787088885,11.19269179,Quercus shumardii var. acerifolia,"Logan County, Arkansas",Rim of mountain. Brown Springs,1968,35.16985788,-93.65075334
