TreeNo,height,log.BL,log.PL,log.BW,log.TLIW,log.TLL,log.TLDW,log.TEL,log.BLL,log.LLL,log.BSR,log.LSR,log.LLDW,log.LLIW,log.MidVeinD,log.BL_PL,Tufts,Lobe.number,PC1,PC2,PC3,PC4,PC5,PC6
QA-M11,3.0,2.33959900853658,0.605942000428063,2.30842839361192,1.2687756802687,1.32866617227647,1.2665167901372,0.430132932749041,0.841587444524731,1.1943111011268,1.15195822777167,2.03921584342816,1.27923432209002,1.28954702998313,1.74301318407093,2.50225960179062,0.333333333,6.0,-8.431936096,-0.500913737,-11.54222572,-2.553749446,-5.520024228,0.697084902
QA-M5,4.5,2.41741129663911,0.870382640480191,2.35967424415761,1.30197121777205,1.36141713837136,1.38631505740572,0.321139175174657,0.64271917275659,1.245737673656,1.08040797269161,2.09612222233665,1.26393977153498,1.40102977788963,1.73301730232481,2.61040864194378,1.333333333,5.666666667,-8.593978553,0.414067943,-16.68961594,-4.173089717,26.72755229,-1.8362879
QR-M1,3.0,2.84560283751086,0.896077963689699,2.72639524965295,1.71351659431393,1.86148538737064,1.70712186315908,0.862915645956269,1.45160692183027,1.6320063724626,1.64549787953438,2.52046855667189,1.09662112361406,1.39648324643747,2.18634642093157,2.97868310340306,1e-10,8.666666667,19.47262912,-1.953619719,-2.119561558,6.929594149,0.153655439,0.122969131
QR-M14,2.5,2.58546207496709,0.44893897275061,2.37638673737706,1.28509369903918,1.40131916433926,1.23191735951712,0.326469539604104,0.160755648631386,1.27031116178594,0.949237548695524,2.34554567526449,1.27026050048328,1.54702906603523,1.82075902450528,2.69706125519511,1e-10,6.5,22.37592773,-2.003944438,-2.581493893,8.572743214,0.344203315,0.434074075
QR-M3,1.5,2.56867578262996,0.833341473805821,2.4416871794513,1.6244503275103,1.41035375595313,1.41293262068664,0.489571361309131,0.786005733490599,1.33004621168709,0.832691114825237,2.33957321288005,1.13511489123169,1.34927512148457,1.94834021319917,2.73108475825204,1e-10,7.0,21.76251659,-2.006798345,-1.751650299,8.653440115,1.021514729,0.716034281
QR-M9,4.0,2.63892628031439,0.983213091783966,2.31019724292652,1.32327822696297,1.42176836362983,1.22631406949365,0.648697023146914,0.712720821346598,1.25986216035255,1.07375842193532,2.36565736158354,1.13135846408695,1.40070038107622,1.82866454069115,2.81368247523036,1e-10,7.333333333,19.4234083,-1.489881485,-1.222899225,8.000538949,0.445425707,0.427272283
QA-S11,3.0,2.49004115728176,1.19341146247656,2.63688220002082,1.30431830279032,1.81834082109195,1.69531868221153,0.762384406256642,1.2138751186798,1.78110294850317,1.17265673623276,1.94597030895996,1.58523529593104,1.37812443573139,2.0201685223574,2.73177236963069,0.333333333,5.0,-6.623124823,0.487707143,-11.68632781,-2.072886996,-5.209315449,7.104194973
QA-S14,2.5,2.2572222349654,1.13588431301392,2.36224659987003,1.39784151711149,1.14410258218475,1.56975841335065,0.429277537678729,1.16667333467385,1.32647611261272,1.0634902635521,1.93012610397644,1.45464681394925,1.3210790147211,1.71036744551193,2.53927113266114,1.0,5.0,-7.853183249,0.514655321,-12.13963228,-2.057999505,-3.425106577,5.876321165
QA-S15,2.5,2.54722655536716,1.17590376162538,2.5691634541318,1.06957013236207,1.81507527885029,1.55359705183955,0.812919865328919,1.6072364529995,1.55850345218419,1.13681969885972,2.0477428991447,1.41803346414625,1.2162737708631,1.80368456594368,2.77338240531502,1.333333333,6.0,-7.302998165,-0.109079279,-13.21233643,-2.524093478,-4.047079301,5.956574927
QA-S6,1.8,2.33247041570839,1.09551549521588,2.31426807046262,1.40782691598306,1.38434245889758,1.65188033990344,0.315717625575119,1.14821648554998,1.27153448006066,1.19171120482398,1.97653629521356,1.17333049801781,1.35128559403498,1.69573320432932,2.58731940255867,1.0,5.666666667,-6.093951859,0.192991122,-9.430155184,-1.588862704,-3.023376949,4.350236363
